"name","pop","location"
"Beersel","23228","https://www.google.com/maps/?q=50.7659,4.3002"
"Wetteren","22930","https://www.google.com/maps/?q=51.0053,3.88341"
"Hamme","22891","https://www.google.com/maps/?q=51.0982,4.13705"
"Willebroek","22808","https://www.google.com/maps/?q=51.0604,4.36019"
"Saint-Nicolas","22586","https://www.google.com/maps/?q=50.6284,5.53243"
"Westerlo","22579","https://www.google.com/maps/?q=51.0905,4.91544"
"Diest","22516","https://www.google.com/maps/?q=50.9892,5.05062"
"Saint-Ghislain","22500","https://www.google.com/maps/?q=50.4482,3.81886"
"Manage","22196","https://www.google.com/maps/?q=50.5031,4.23589"
"Maldegem","22092","https://www.google.com/maps/?q=51.2074,3.44511"
"Fleurus","22080","https://www.google.com/maps/?q=50.4835,4.55006"
"Merelbeke","22047","https://www.google.com/maps/?q=50.9945,3.74621"
"Zedelgem","21968","https://www.google.com/maps/?q=51.1424,3.1368"
"Tubize","21859","https://www.google.com/maps/?q=50.6906,4.2009"
"Edegem","21839","https://www.google.com/maps/?q=51.1566,4.44504"
"Gembloux","21676","https://www.google.com/maps/?q=50.5615,4.69889"
"Rixensart","21616","https://www.google.com/maps/?q=50.7123,4.52529"
"Oostkamp","21489","https://www.google.com/maps/?q=51.1543,3.23128"
"Zemst","21096","https://www.google.com/maps/?q=50.9832,4.46079"
"Koksijde","21027","https://www.google.com/maps/?q=51.1164,2.63772"
"Chaudfontaine","20960","https://www.google.com/maps/?q=50.5828,5.6341"
"Nijlen","20792","https://www.google.com/maps/?q=51.161,4.67008"
"Zoersel","20642","https://www.google.com/maps/?q=51.2682,4.71296"
"Tervuren","20623","https://www.google.com/maps/?q=50.8237,4.51418"
"Frameries","20598","https://www.google.com/maps/?q=50.4058,3.89603"
"Schilde","20373","https://www.google.com/maps/?q=51.2411,4.58336"
"Kontich","20290","https://www.google.com/maps/?q=51.1321,4.44706"
"Zele","20236","https://www.google.com/maps/?q=51.0657,4.0403"
"Braine-le-Comte","20133","https://www.google.com/maps/?q=50.6098,4.14658"
"Boussu","20058","https://www.google.com/maps/?q=50.4342,3.7944"
"Bornem","19997","https://www.google.com/maps/?q=51.0972,4.24364"
"Balen","19978","https://www.google.com/maps/?q=51.1684,5.17027"
"Huy","19973","https://www.google.com/maps/?q=50.5189,5.23284"
"Colfontaine","19964","https://www.google.com/maps/?q=50.4141,3.85569"
"Zonhoven","19922","https://www.google.com/maps/?q=50.9906,5.36819"
"Lochristi","19696","https://www.google.com/maps/?q=51.0964,3.83194"
"Poperinge","19537","https://www.google.com/maps/?q=50.8539,2.72659"
"Sint-Katelijne-Waver","19487","https://www.google.com/maps/?q=51.0669,4.53469"
"Tielt","19299","https://www.google.com/maps/?q=50.9993,3.32707"
"Herent","19218","https://www.google.com/maps/?q=50.9086,4.67056"
"Eeklo","19116","https://www.google.com/maps/?q=51.187,3.55654"
"Torhout","18933","https://www.google.com/maps/?q=51.0656,3.10085"
"Aalter","18802","https://www.google.com/maps/?q=51.0902,3.44693"
"Hoogstraten","18524","https://www.google.com/maps/?q=51.4003,4.76034"
"Meise","18497","https://www.google.com/maps/?q=50.9393,4.32655"
"Quaregnon","18491","https://www.google.com/maps/?q=50.4407,3.8653"
"Zwijndrecht","18249","https://www.google.com/maps/?q=51.2198,4.32664"
"Morlanwelz-Mariemont","18233","https://www.google.com/maps/?q=50.455,4.24519"
"Blankenberge","18230","https://www.google.com/maps/?q=51.3131,3.13227"
"Wuustwezel","18117","https://www.google.com/maps/?q=51.3921,4.59546"
"Eupen","18029","https://www.google.com/maps/?q=50.6279,6.03647"
"Sint-Genesius-Rode","17990","https://www.google.com/maps/?q=50.7464,4.35754"
"Middelkerke","17789","https://www.google.com/maps/?q=51.1853,2.82077"
"Kortenberg","17774","https://www.google.com/maps/?q=50.8898,4.54353"
"Kasterlee","17765","https://www.google.com/maps/?q=51.2412,4.96651"
"Diepenbeek","17699","https://www.google.com/maps/?q=50.9077,5.41875"
"Lessines","17687","https://www.google.com/maps/?q=50.711,3.83579"
"Sint-Gillis-Waas","17658","https://www.google.com/maps/?q=51.2191,4.12374"
"Walcourt","17501","https://www.google.com/maps/?q=50.254,4.43796"
"Kalmthout","17485","https://www.google.com/maps/?q=51.3844,4.47556"
"Ranst","17405","https://www.google.com/maps/?q=51.1898,4.56533"
"Lebbeke","17372","https://www.google.com/maps/?q=51.0046,4.13457"
"Wervik","17340","https://www.google.com/maps/?q=50.7807,3.03854"
"Stabroek","17294","https://www.google.com/maps/?q=51.3319,4.37127"
"Londerzeel","17274","https://www.google.com/maps/?q=51.0047,4.30304"
"Haaltert","17129","https://www.google.com/maps/?q=50.9063,4.00093"
"Vise","17054","https://www.google.com/maps/?q=50.7376,5.69907"
"Stekene","16989","https://www.google.com/maps/?q=51.2099,4.03651"
"Denderleeuw","16969","https://www.google.com/maps/?q=50.8851,4.07601"
"Dour","16861","https://www.google.com/maps/?q=50.3958,3.77792"
"Marche-en-Famenne","16856","https://www.google.com/maps/?q=50.2268,5.34416"
"Destelbergen","16853","https://www.google.com/maps/?q=51.0595,3.79899"
"Lede","16813","https://www.google.com/maps/?q=50.9663,3.98594"
"Essen","16754","https://www.google.com/maps/?q=51.4679,4.46901"
"Peruwelz","16647","https://www.google.com/maps/?q=50.5082,3.59373"
"Tessenderlo","16574","https://www.google.com/maps/?q=51.0651,5.08856"
"Herve","16544","https://www.google.com/maps/?q=50.6408,5.79353"
"Herzele","16523","https://www.google.com/maps/?q=50.8868,3.89014"
"Beerse","16208","https://www.google.com/maps/?q=51.3193,4.85304"
"Neerpelt","16122","https://www.google.com/maps/?q=51.2281,5.4427"
"Duffel","16011","https://www.google.com/maps/?q=51.0955,4.50903"
"Sint-Kruis","16000","https://www.google.com/maps/?q=51.214,3.24949"
"Fleron","15994","https://www.google.com/maps/?q=50.6152,5.68062"
"Puurs","15944","https://www.google.com/maps/?q=51.0741,4.28844"
"Pont-a-Celles","15909","https://www.google.com/maps/?q=50.5052,4.36887"
"Boom","15810","https://www.google.com/maps/?q=51.0924,4.3717"
"Riemst","15809","https://www.google.com/maps/?q=50.81,5.60131"
"Peer","15551","https://www.google.com/maps/?q=51.1303,5.45952"
"Diksmuide","15515","https://www.google.com/maps/?q=51.0325,2.86384"
"Lille","15466","https://www.google.com/maps/?q=51.242,4.82313"
"Putte","15276","https://www.google.com/maps/?q=51.0534,4.63263"
"Soumagne","15237","https://www.google.com/maps/?q=50.6138,5.74679"
"Rotselaar","15007","https://www.google.com/maps/?q=50.953,4.71665"
"Aubange","14932","https://www.google.com/maps/?q=49.5665,5.80492"
"Bredene","14862","https://www.google.com/maps/?q=51.2349,2.97559"
"Ciney","14830","https://www.google.com/maps/?q=50.2945,5.10015"
"Kruibeke","14815","https://www.google.com/maps/?q=51.1705,4.31444"
"Thuin","14682","https://www.google.com/maps/?q=50.3393,4.28604"
"Zulte","14670","https://www.google.com/maps/?q=50.9195,3.44859"
"Merchtem","14660","https://www.google.com/maps/?q=50.9513,4.23197"
"Ternat","14569","https://www.google.com/maps/?q=50.8665,4.16682"
"Rumst","14521","https://www.google.com/maps/?q=51.0815,4.42217"
"Beernem","14512","https://www.google.com/maps/?q=51.1398,3.33896"
"Landen","14458","https://www.google.com/maps/?q=50.7527,5.082"
"Wemmel","14406","https://www.google.com/maps/?q=50.9081,4.30613"
"Bastogne","14395","https://www.google.com/maps/?q=50.0035,5.71844"
"Bree","14363","https://www.google.com/maps/?q=51.1415,5.5969"
"Chapelle-lez-Herlaimont","14353","https://www.google.com/maps/?q=50.4713,4.28227"
"Eghezee","14352","https://www.google.com/maps/?q=50.5908,4.91175"
"Genappe","14266","https://www.google.com/maps/?q=50.6117,4.45152"
"Bonheiden","14260","https://www.google.com/maps/?q=51.0226,4.54714"
"Aartselaar","14193","https://www.google.com/maps/?q=51.1341,4.38678"
"Leopoldsburg","14149","https://www.google.com/maps/?q=51.1167,5.25"
"Hannut","14129","https://www.google.com/maps/?q=50.6714,5.07898"
"Anzegem","13920","https://www.google.com/maps/?q=50.837,3.47786"
"Basse Lasne","13861","https://www.google.com/maps/?q=50.695,4.49218"
"Berlare","13853","https://www.google.com/maps/?q=51.0333,4"
"Waremme","13737","https://www.google.com/maps/?q=50.6976,5.25524"
"Tremelo","13721","https://www.google.com/maps/?q=50.9923,4.70807"
"Lummen","13689","https://www.google.com/maps/?q=50.9877,5.19121"
"Dison","13642","https://www.google.com/maps/?q=50.61,5.8534"
"Ichtegem","13582","https://www.google.com/maps/?q=51.0957,3.01549"
"Lubbeek","13574","https://www.google.com/maps/?q=50.8828,4.83896"
"Ravels","13560","https://www.google.com/maps/?q=51.3727,4.9921"
"Haacht","13541","https://www.google.com/maps/?q=50.9774,4.63777"
"Couvin","13518","https://www.google.com/maps/?q=50.0528,4.49495"
"Buggenhout","13510","https://www.google.com/maps/?q=51.0159,4.20173"
"Esneux","13497","https://www.google.com/maps/?q=50.536,5.56775"
"Assenede","13495","https://www.google.com/maps/?q=51.226,3.75085"
"Herselt","13493","https://www.google.com/maps/?q=51.0516,4.88231"
"Jabbeke","13488","https://www.google.com/maps/?q=51.1819,3.08935"
"Beloeil","13405","https://www.google.com/maps/?q=50.5505,3.73484"
"Overpelt","13344","https://www.google.com/maps/?q=51.2104,5.41557"
"Amay","13307","https://www.google.com/maps/?q=50.5483,5.30974"
"Wezembeek-Oppem","13245","https://www.google.com/maps/?q=50.8395,4.49427"
"Oosterzele","13151","https://www.google.com/maps/?q=50.9526,3.79826"
"Sprimont","12945","https://www.google.com/maps/?q=50.5092,5.6595"
"Wanze","12918","https://www.google.com/maps/?q=50.5391,5.20846"
"Wingene","12887","https://www.google.com/maps/?q=51.0578,3.27359"
