"name","pop","location"
"Bedzin","58236","https://www.google.com/maps/?q=50.3261,19.1257"
"Zgierz","58036","https://www.google.com/maps/?q=51.8556,19.4062"
"Biala Podlaska","57541","https://www.google.com/maps/?q=52.0324,23.1165"
"Elk","55769","https://www.google.com/maps/?q=53.8282,22.3647"
"Swietochlowice","55600","https://www.google.com/maps/?q=50.2964,18.9173"
"Pruszkow","55371","https://www.google.com/maps/?q=52.1707,20.8121"
"Ostroleka","53740","https://www.google.com/maps/?q=53.0862,21.5757"
"Starachowice","53739","https://www.google.com/maps/?q=51.0374,21.0713"
"Zawiercie","53159","https://www.google.com/maps/?q=50.4877,19.4168"
"Zoliborz","50934","https://www.google.com/maps/?q=52.269,20.9864"
"Legionowo","50786","https://www.google.com/maps/?q=52.4015,20.9266"
"Tarnobrzeg","50459","https://www.google.com/maps/?q=50.573,21.6794"
"Pulawy","49759","https://www.google.com/maps/?q=51.4165,21.9694"
"Wodzislaw Slaski","49521","https://www.google.com/maps/?q=50.0038,18.472"
"Skarzysko-Kamienna","49410","https://www.google.com/maps/?q=51.1131,20.8716"
"Radomsko","49175","https://www.google.com/maps/?q=51.0671,19.4448"
"Skierniewice","49042","https://www.google.com/maps/?q=51.9548,20.1584"
"Kutno","48323","https://www.google.com/maps/?q=52.2306,19.3641"
"Starogard Gdanski","48202","https://www.google.com/maps/?q=53.964,18.5264"
"Krosno","47784","https://www.google.com/maps/?q=49.6887,21.7706"
"Debica","47366","https://www.google.com/maps/?q=50.0515,21.4114"
"Ursus","47285","https://www.google.com/maps/?q=52.1952,20.8842"
"Nysa","47283","https://www.google.com/maps/?q=50.4738,17.3344"
"Wejherowo","46820","https://www.google.com/maps/?q=54.6057,18.2356"
"Ciechanow","46438","https://www.google.com/maps/?q=52.8814,20.62"
"Rumia","44791","https://www.google.com/maps/?q=54.5709,18.388"
"Zdunska Wola","44515","https://www.google.com/maps/?q=51.5992,18.9397"
"Sieradz","44436","https://www.google.com/maps/?q=51.5958,18.7302"
"Kolobrzeg","44377","https://www.google.com/maps/?q=54.1757,15.5834"
"Otwock","43388","https://www.google.com/maps/?q=52.1058,21.2613"
"Zyrardow","41179","https://www.google.com/maps/?q=52.0488,20.446"
"Oswiecim","41143","https://www.google.com/maps/?q=50.0344,19.2104"
"Swinoujscie","40919","https://www.google.com/maps/?q=53.9105,14.2471"
"Boleslawiec","40682","https://www.google.com/maps/?q=51.2642,15.5697"
"Nowa Sol","40354","https://www.google.com/maps/?q=51.8033,15.717"
"Sopot","40142","https://www.google.com/maps/?q=54.4418,18.56"
"Jaroslaw","40134","https://www.google.com/maps/?q=50.0162,22.6778"
"Swidnik","40050","https://www.google.com/maps/?q=51.219,22.6962"
"Chrzanow","39973","https://www.google.com/maps/?q=50.1355,19.402"
"Knurow","39744","https://www.google.com/maps/?q=50.2197,18.6507"
"Sanok","39684","https://www.google.com/maps/?q=49.5557,22.2056"
"Chojnice","39407","https://www.google.com/maps/?q=53.6955,17.557"
"Mikolow","38821","https://www.google.com/maps/?q=50.171,18.9041"
"Zary","38779","https://www.google.com/maps/?q=51.6421,15.1373"
"Malbork","38655","https://www.google.com/maps/?q=54.0359,19.0266"
"Szczecinek","38496","https://www.google.com/maps/?q=53.7079,16.6994"
"Sochaczew","38267","https://www.google.com/maps/?q=52.2294,20.2384"
"Brzeg","38259","https://www.google.com/maps/?q=50.8608,17.4674"
"Jaslo","37851","https://www.google.com/maps/?q=49.7451,21.4725"
"Olkusz","37744","https://www.google.com/maps/?q=50.2813,19.565"
"Kwidzyn","37601","https://www.google.com/maps/?q=53.7249,18.9311"
"Minsk Mazowiecki","37027","https://www.google.com/maps/?q=52.1794,21.5725"
"Olesnica","36956","https://www.google.com/maps/?q=51.2134,17.3899"
"Wolomin","36592","https://www.google.com/maps/?q=52.3401,21.2421"
"Piaseczno","36278","https://www.google.com/maps/?q=52.0814,21.024"
"Wlochy","36276","https://www.google.com/maps/?q=52.1794,20.9461"
"Krasnik","35834","https://www.google.com/maps/?q=50.9236,22.2271"
"Cieszyn","35586","https://www.google.com/maps/?q=49.7513,18.6321"
"Lebork","35161","https://www.google.com/maps/?q=54.5392,17.7501"
"Czechowice-Dziedzice","34703","https://www.google.com/maps/?q=49.9134,19.0048"
"Police","34350","https://www.google.com/maps/?q=53.5521,14.5718"
"Czeladz","34308","https://www.google.com/maps/?q=50.3154,19.0782"
"Dzierzoniow","34168","https://www.google.com/maps/?q=50.7282,16.6514"
"Nowy Targ","33763","https://www.google.com/maps/?q=49.4778,20.0323"
"Ostroda","33524","https://www.google.com/maps/?q=53.6967,19.9649"
"Myszkow","33273","https://www.google.com/maps/?q=50.5752,19.3246"
"Zgorzelec","33247","https://www.google.com/maps/?q=51.1494,15.0084"
"Ilawa","32557","https://www.google.com/maps/?q=53.596,19.5685"
"Zywiec","32132","https://www.google.com/maps/?q=49.6853,19.1924"
"Olawa","30898","https://www.google.com/maps/?q=50.9466,17.2926"
"Bielawa","30824","https://www.google.com/maps/?q=50.6908,16.623"
"Lukow","30465","https://www.google.com/maps/?q=51.929,22.3796"
"Srem","30404","https://www.google.com/maps/?q=52.0887,17.0151"
"Gizycko","29972","https://www.google.com/maps/?q=54.0381,21.7644"
"Lowicz","29809","https://www.google.com/maps/?q=52.1071,19.9452"
"Augustow","29752","https://www.google.com/maps/?q=53.8432,22.9798"
"Turek","29533","https://www.google.com/maps/?q=52.0155,18.5005"
"Mlawa","29398","https://www.google.com/maps/?q=53.1128,20.3841"
"Krotoszyn","29231","https://www.google.com/maps/?q=51.6987,17.4374"
"Bochnia","29184","https://www.google.com/maps/?q=49.9691,20.4303"
"Swarzedz","29010","https://www.google.com/maps/?q=52.4129,17.085"
"Czerwionka-Leszczyny","28740","https://www.google.com/maps/?q=50.1501,18.6776"
"Wrzesnia","28703","https://www.google.com/maps/?q=52.3251,17.5652"
"Gorlice","28609","https://www.google.com/maps/?q=49.6556,21.1604"
"Gierloz","28351","https://www.google.com/maps/?q=54.0813,21.4955"
"Ketrzyn","28171","https://www.google.com/maps/?q=54.0768,21.3753"
"Klodzko","27941","https://www.google.com/maps/?q=50.4349,16.6614"
"Nowy Dwor Mazowiecki","27633","https://www.google.com/maps/?q=52.4302,20.7165"
